Date,Code,Description,Unit of Measure,Value
2015/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,5.1
2015/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,6.0
2015/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.3
2015/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,5.2
2016/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,6.9
2016/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,5.3
2016/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,5.5
2016/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,5.1
2017/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.9
2017/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.0
2017/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.6
2017/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.8
2018/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.1
2018/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,5.0
2018/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.8
2018/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.4
2019/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.4
2019/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.5
2019/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.1
2019/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.2
2020/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.4
2020/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,2.0
2020/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.6
2020/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,2.9
2021/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,2.7
2021/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,2.9
2021/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.7
2021/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.0
2022/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.9
2022/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,5.0
2022/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,5.5
2022/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,5.5
2023/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.5
2023/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.8
2023/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.1
2023/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,4.6
2024/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,5.8
2024/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.6
2024/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,2.8
2024/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,2.8
2025/1,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.8
2025/2,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,2.7
2025/3,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.3
2025/4,KBP7177Q,Consumer prices: CPI excluding food and non-alcoholic        beverages, fuel and electricity (All urban areas),Percentage,3.2
